League,GameId,MatchId,WinTeam,LossTeam,BestOf,SeriesScore,Gamelength,Team1Gold,Team2Gold,Team1Kills,Team2Kills
LPL,LPL/2025 Season/Split 1_Week 2_1_3,LPL/2025 Season/Split 1_Week 2_1,ThunderTalk Gaming,LNG Esports,5.0,3-1,29:53,50812,60385,9,17
LPL,LPL/2025 Season/Split 1_Week 2_1_4,LPL/2025 Season/Split 1_Week 2_1,ThunderTalk Gaming,LNG Esports,5.0,3-1,40:51,70315,76922,14,15
LPL,LPL/2025 Season/Split 1_Week 2_2_1,LPL/2025 Season/Split 1_Week 2_2,FunPlus Phoenix,Royal Never Give Up,5.0,3-1,32:10,54057,65142,5,16
LPL,LPL/2025 Season/Split 1_Week 2_2_2,LPL/2025 Season/Split 1_Week 2_2,Royal Never Give Up,FunPlus Phoenix,5.0,3-1,35:22,71479,59437,22,8
LPL,LPL/2025 Season/Split 1_Week 2_2_3,LPL/2025 Season/Split 1_Week 2_2,Royal Never Give Up,FunPlus Phoenix,5.0,3-1,29:07,49537,56979,6,14
LPL,LPL/2025 Season/Split 1_Week 2_2_4,LPL/2025 Season/Split 1_Week 2_2,Royal Never Give Up,FunPlus Phoenix,5.0,3-1,44:56,77990,88147,12,19
LPL,LPL/2025 Season/Split 1_Week 2_3_1,LPL/2025 Season/Split 1_Week 2_3,Weibo Gaming,Ultra Prime,5.0,3-1,37:20,66965,71203,17,20
LPL,LPL/2025 Season/Split 1_Week 2_3_2,LPL/2025 Season/Split 1_Week 2_3,Ultra Prime,Weibo Gaming,5.0,3-1,30:47,61202,52883,23,7
LPL,LPL/2025 Season/Split 1_Week 2_3_3,LPL/2025 Season/Split 1_Week 2_3,Weibo Gaming,Ultra Prime,5.0,3-1,21:27,45113,32029,19,4
LPL,LPL/2025 Season/Split 1_Week 2_3_4,LPL/2025 Season/Split 1_Week 2_3,Weibo Gaming,Ultra Prime,5.0,3-1,30:14,48094,62358,7,20
